ID,name,year,Type
1,Advances in Intelligent Systems and Computing,2021,Conference Paper
2,Lecture Notes in Electrical Engineering,2021,Conference Paper
3,Journal of Hydraulic Engineering,2020,Journal
4,Journal of Computing and Information Science in Engineering,2020,Journal
5,Telematics and Informatics,2020,Conference Paper
6,Electric Power Systems Research,2020,Conference Paper
7,Optical Fiber Technology,2020,Conference Paper
8,Computers and Graphics (Pergamon),2020,Conference Paper
9,International Journal of Electrical Power and Energy Systems,2020,Journal
10,Nanotechnology,2020,Conference Paper
11,Journal of Cleaner Production,2020,Journal
12,Journal of Manufacturing Processes,2020,Journal
13,IEEE Robotics and Automation Letters,2020,Conference Paper
14,Computer Methods in Applied Mechanics and Engineering,2020,Conference Paper
15,IEEE Vehicular Technology Magazine,2020,Conference Paper
16,Journal of Nondestructive Evaluation,2020,Journal
17,Production and Operations Management,2020,Conference Paper
18,Applied Thermal Engineering,2020,Conference Paper
19,JOM,2020,Conference Paper
20,Midwest Symposium on Circuits and Systems,2020,Conference Paper
21,"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",2020,Conference Paper
22,Scripta Materialia,2020,Conference Paper
23,IEEE Transactions on Aerospace and Electronic Systems,2020,Conference Paper
24,International Journal of Robotics Research,2020,Journal
25,Journal of Water Process Engineering,2020,Journal
26,Quality Engineering,2020,Conference Paper
27,"Journal of Mechanical Design, Transactions of the ASME",2020,Journal
28,IEEE/CAA Journal of Automatica Sinica,2020,Journal
29,Journal of Biomechanical Engineering,2020,Journal
30,Noise Control Engineering Journal,2020,Journal
31,Mechanism and Machine Theory,2020,Conference Paper
32,Proceedings of the American Control Conference,2020,Conference Paper
33,IEEE Transactions on Nuclear Science,2020,Conference Paper
34,"IET Generation, Transmission and Distribution",2020,Conference Paper
35,Quality and Reliability Engineering International,2020,Conference Paper
36,"Navigation, Journal of the Institute of Navigation",2020,Journal
37,Journal of Science Education and Technology,2020,Journal
38,Materials Science and Engineering A,2020,Conference Paper
39,Footwear Science,2020,Conference Paper
40,Advanced Materials Interfaces,2020,Conference Paper
41,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,2020,Conference Paper
42,Journal of Micromechanics and Microengineering,2020,Journal
43,Additive Manufacturing,2020,Conference Paper
44,Nano Research,2020,Conference Paper
45,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020",2020,Conference Paper
46,International Journal of Bifurcation and Chaos,2020,Journal
47,Electronics (Switzerland),2020,Conference Paper
48,Energies,2020,Conference Paper
49,ACS Applied Bio Materials,2020,Conference Paper
50,SAE Technical Papers,2020,Conference Paper
51,IEEE International Reliability Physics Symposium Proceedings,2020,Conference Paper
52,Micromachines,2020,Conference Paper
53,IEEE Antennas and Propagation Magazine,2020,Conference Paper
54,Physical Review Fluids,2020,Conference Paper
55,Journal of Bridge Engineering,2020,Journal
56,ACS Applied Energy Materials,2020,Conference Paper
